Customer ID,Name,Age,Mobile No.,Ratings
978,cSrd,83,07681509971,"[4.19, 3.26, 2.74, 4.4, 1.59, 3.38]"
305,SqxHN,71,05824627618,"[2.39, 4.04, 1.98, 4.73, 4.39, 4.29]"
359,lAtpAzC,87,07229000952,"[1.18, 4.48, 1.73, 2.81, 2.77]"
796,PTkJS,72,02698056242,"[2.04, 1.05, 2.25, 4.02]"
560,WfNyK,55,03891233384,"[4.58, 2.85, 1.88, 3.57, 4.39, 1.5, 3.67]"
450,ZMmpRpqE,26,03746432506,"[1.27, 3.43, 3.78, 4.35, 4.62, 2.29, 2.67, 4.95, 2.29]"
800,JhPab,81,05041093423,"[1.79, 4.65, 2.64, 3.92, 1.15, 4.15, 2.48, 3.09]"
152,WfoxZfc,54,07107155993,"[3.59, 2.37, 4.52, 3.72, 1.1, 1.74, 4.43, 4.53]"
436,jucf,67,08777650841,"[2.83, 1.33, 2.99, 4.39, 4.37, 2.42, 1.53, 1.69, 1.38]"
966,DfQb,52,01187271646,"[2.92, 4.74, 2.77, 1.47, 3.27, 2.64, 4.12, 2.08, 1.83, 1.88]"
873,Ptdo,29,06838905655,"[2.87, 3.36, 4.42, 4.71]"
514,yEcWQmrx,50,05545653522,"[2.85, 4.19, 3.17, 1.07, 3.29, 4.57, 2.55, 3.89]"
207,vmBOolSb,62,01235302540,"[2.11, 3.37, 4.25, 4.28, 3.15, 4.02]"
702,iBVC,86,02869836258,"[1.83, 2.66, 4.9, 3.73, 3.08, 3.78, 2.32]"
596,IVjlrut,51,09226583060,"[3.84, 4.54]"
301,pEuX,24,06034043424,"[1.18, 2.64, 2.71, 1.31, 3.31, 3.78, 2.69, 2.41, 1.06, 4.89]"
573,tmFzqCu,41,02644151336,"[1.56, 2.86, 3.98, 2.51]"
473,kZRs,84,06983700545,"[4.28, 4.77, 2.04, 1.97, 2.27, 4.29, 4.11, 4.83, 2.18, 1.38]"
328,zZaTfo,44,01231434055,"[1.35, 1.17, 3.39, 3.91, 3.72, 2.44, 2.72]"
832,mrgwBOx,60,01940737325,[2.67]
410,UnkvZeG,19,06764569382,"[4.94, 2.49, 4.84, 2.68, 2.1, 2.81, 1.37, 1.42, 2.47]"
